name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Rock And Roll,The Velvet Underground,0.472,0.661,0,-10.342,1,0.0301,0.187,0.00698,0.101,0.353,140.581,audio_features,6lSV4XSDYdktizPCP5CBZc,spotify:track:6lSV4XSDYdktizPCP5CBZc,https://api.spotify.com/v1/tracks/6lSV4XSDYdktizPCP5CBZc,https://api.spotify.com/v1/audio-analysis/6lSV4XSDYdktizPCP5CBZc,368760,4
We're Gonna Have A Real Good Time Together,The Velvet Underground,0.444,0.604,7,-12.467,1,0.0368,0.15,0.935,0.226,0.73,164.548,audio_features,0oPZUCKjSIlQclVrUJDf2l,spotify:track:0oPZUCKjSIlQclVrUJDf2l,https://api.spotify.com/v1/tracks/0oPZUCKjSIlQclVrUJDf2l,https://api.spotify.com/v1/audio-analysis/0oPZUCKjSIlQclVrUJDf2l,195240,4
Femme Fatale,The Velvet Underground,0.402,0.395,7,-15.851,1,0.0332,0.747,0.00235,0.2,0.586,103.818,audio_features,2zmdUgCBFFMJTjdkuP6JeJ,spotify:track:2zmdUgCBFFMJTjdkuP6JeJ,https://api.spotify.com/v1/tracks/2zmdUgCBFFMJTjdkuP6JeJ,https://api.spotify.com/v1/audio-analysis/2zmdUgCBFFMJTjdkuP6JeJ,184560,4
What Goes On,The Velvet Underground,0.373,0.715,2,-9.846,1,0.0537,0.158,0.817,0.121,0.681,127.095,audio_features,4zi2uSITqhatkiZOO5wE6R,spotify:track:4zi2uSITqhatkiZOO5wE6R,https://api.spotify.com/v1/tracks/4zi2uSITqhatkiZOO5wE6R,https://api.spotify.com/v1/audio-analysis/4zi2uSITqhatkiZOO5wE6R,537867,4
"Sweet Jane - Live From The Matrix, San Francisco, CA / 1969",The Velvet Underground,0.594,0.309,2,-15.73,1,0.0422,0.233,0.0236,0.533,0.584,85.274,audio_features,4Ix141y9rAazV5xUVr0VeS,spotify:track:4Ix141y9rAazV5xUVr0VeS,https://api.spotify.com/v1/tracks/4Ix141y9rAazV5xUVr0VeS,https://api.spotify.com/v1/audio-analysis/4Ix141y9rAazV5xUVr0VeS,240160,4
Waiting For The Man,The Velvet Underground,0.482,0.466,2,-13.58,1,0.0292,0.864,0.0159,0.148,0.691,106.455,audio_features,23i8helR1qRsqTx0WJXxWu,spotify:track:23i8helR1qRsqTx0WJXxWu,https://api.spotify.com/v1/tracks/23i8helR1qRsqTx0WJXxWu,https://api.spotify.com/v1/audio-analysis/23i8helR1qRsqTx0WJXxWu,423400,4
One Of These Days,The Velvet Underground,0.321,0.587,2,-14.248,1,0.0426,0.0124,1.53e-05,0.238,0.701,114.102,audio_features,2T6vRyNvCu6Mjgl7U2tbNc,spotify:track:2T6vRyNvCu6Mjgl7U2tbNc,https://api.spotify.com/v1/tracks/2T6vRyNvCu6Mjgl7U2tbNc,https://api.spotify.com/v1/audio-analysis/2T6vRyNvCu6Mjgl7U2tbNc,230693,4
Foggy Notion,The Velvet Underground,0.565,0.787,2,-15.608,1,0.0448,0.000361,0.112,0.185,0.94,148.04,audio_features,1zeLiWI2FakWUHNbvw4Na5,spotify:track:1zeLiWI2FakWUHNbvw4Na5,https://api.spotify.com/v1/tracks/1zeLiWI2FakWUHNbvw4Na5,https://api.spotify.com/v1/audio-analysis/1zeLiWI2FakWUHNbvw4Na5,401733,4
Temptation Inside Your Heart,The Velvet Underground,0.605,0.424,0,-16.958,1,0.0467,0.436,0.0,0.285,0.916,147.144,audio_features,11kBS24KT198dOB5grot8a,spotify:track:11kBS24KT198dOB5grot8a,https://api.spotify.com/v1/tracks/11kBS24KT198dOB5grot8a,https://api.spotify.com/v1/audio-analysis/11kBS24KT198dOB5grot8a,149827,4
Lisa Says,The Velvet Underground,0.574,0.307,5,-14.754,1,0.0346,0.545,6.96e-05,0.1,0.443,74.684,audio_features,7eWWW7ewGah1dK081294s0,spotify:track:7eWWW7ewGah1dK081294s0,https://api.spotify.com/v1/tracks/7eWWW7ewGah1dK081294s0,https://api.spotify.com/v1/audio-analysis/7eWWW7ewGah1dK081294s0,173133,4
Ocean,The Velvet Underground,0.369,0.171,7,-19.286,1,0.0296,0.872,0.453,0.11,0.208,145.551,audio_features,4YnQESBmgiYcmKXRzSfjy5,spotify:track:4YnQESBmgiYcmKXRzSfjy5,https://api.spotify.com/v1/tracks/4YnQESBmgiYcmKXRzSfjy5,https://api.spotify.com/v1/audio-analysis/4YnQESBmgiYcmKXRzSfjy5,310000,4
