index,uri
"bovary, clara luciani",spotify:track:73V7shRcNsEQ4SpTgYFFB0
"qu'est-ce que t'es beau, clara luciani",spotify:track:7fR23zj47csX8nlOhqlJ4B
"la chanson de delphine, clara luciani",spotify:track:61OuVGRWNDJcmKy9LI28u9
"les fleurs, clara luciani",spotify:track:6jypQiNeBTQM80iuSkoNsS
"la baie, clara luciani",spotify:track:5awqGLNiSTNRtMtWve1bSA
"ma sœur, clara luciani",spotify:track:1DCJJCT2TwJO1OxZ9E7px9
"nue, clara luciani",spotify:track:3rfDjFBGWeDW88inQfLzmm
"la grenade, clara luciani",spotify:track:7ixCRBD0FZMRBeOBhTu2KD
"c'est de la frénésie, alice et moi",spotify:track:6IZIgRY0OzWm8bxbrxIdDR
"t'es fait pour me plaire, alice et moi",spotify:track:48DOsX7WRDVKbnnGeCzaZp
"filme moi, alice et moi",spotify:track:7f8ep7LmhUvhEIvlDfb9cj
"l'oiseau, feu! chatterton",spotify:track:7wTE6zKPCgCZiByuAxSUNV
"la malinche, feu! chatterton",spotify:track:1m0VhCjfqRal5e11Ill3fM
"prettiest virgin, agar agar",spotify:track:5gusADrGCRfFSewILLmGP6
"you're high, agar agar",spotify:track:3Wtm09sSjyoidTrms6H4H6
"maddy la nuit, flavien berger",spotify:track:1uqcwvZ8COoq85XOksYyhK
"brutalisme, flavien berger",spotify:track:1dzoPsCEYvZCqhtTNFDccd
"les héros de barbès, juniore",spotify:track:57aGeek8XirEyPG5j9n9r1
"ah bah d’accord, juniore",spotify:track:07efUwZTg2blJ6AKqCccUG
"je fais le mort, juniore",spotify:track:6QqUx8J1CV5c79lT4ox5Te
"a la plage, juniore",spotify:track:1Z4w6YamUv4sYZCf8nPT8N
"feu rouge, pépite",spotify:track:314LZAYaJXobwhsUapt0nJ
"pli du cœur, the pirouettes",spotify:track:0uSOu4919yU96bfiZT16lL
"dernier métro, the pirouettes",spotify:track:5FZRR268149VwP5u9nzIez
"jouer le jeu, the pirouettes",spotify:track:6wakU2PSuIbh8X04du27li
"l'escalier, the pirouettes",spotify:track:4dVcaqqxV7alre6c1vRoik
"now that you're gone, camp claude",spotify:track:5QXW8O2ux5EWKwP1EDte5o
"swimming lessons, camp claude",spotify:track:22r5S6iwB1Le5qpIFMSm48
"dancing alone, camp claude",spotify:track:0HOR3INs7Q74RCDy2a9lL6
"old downtown, camp claude",spotify:track:07J5gvVBcXUPcsa9KVYwHu
"lille, voyou",spotify:track:4Jd8CmtOFzB8tePfOius35
"la serre, voyou",spotify:track:7y2PcB3cCmuKS9epz4UJEt
"à nos jeunesses, voyou",spotify:track:0BhEZmG2sBnV6Tn4GggNdN
"le naufragé, voyou",spotify:track:7Kg0UHhhjcwgXMRnaM2X4u
"le confort, voyou",spotify:track:4qtZpUJ5nJOiqvYIhS65Ov
"y crois-tu, fishbach",spotify:track:6qz58Ewm182HRXyuKlcnbj
"dans une boîte en papier, fishbach",spotify:track:1ILFpk6zb8ZLHwn94ePrSA
"à ta merci, fishbach",spotify:track:3mBIjrgRfZCUSZhILW2LK0
"le château, fishbach",spotify:track:3af4kSHY0qD5s29ibc0WE7
"invisible désintégration de l'univers, fishbach",spotify:track:3DuusRj1j5hke6pqn3ktWX
"un autre que moi, fishbach",spotify:track:6k7BWoUAjyguOjRNewRFdQ
"ma voie lactée, fishbach",spotify:track:0mfV4tGUred3BXFkI8MeC6
"mortel, fishbach",spotify:track:47NipxlZzqAoe3ndnuG1rw
"femme fatale, the velvet underground",spotify:track:3PG7BAJG9WkmNOJOlc4uAo
"cheri cheri lady, modern talking",spotify:track:5pHVEIn2RwZQn38qIfB3Rz
"at least that's what you said, wilco",spotify:track:63fKR9muo3uUwlFwlwZLG1
"unfucktheworld, angel olsen",spotify:track:0HaDqyNg9LoZZ7Zli1uhzL
"oh babe what would you say, hurricane smith",spotify:track:2LY6g95pnSwCFG6TBKiZwv
"i found a reason - 2015 remaster, the velvet underground",spotify:track:63OJHHu2ambZAvdrvhdT2b
"satellite of love - demo version; 2015 remaster, the velvet underground",spotify:track:6NkzKmPgDTG8zHL7PtydBh
"i can't stand it, the velvet underground",spotify:track:2U7ZghsBnEc4BYTGbZor4L
"friends, the velvet underground",spotify:track:4wvBkjKpTnIUEvkBQeE41z
"sad song - demo version; 2015 remaster, the velvet underground",spotify:track:7uMDNeWshPiqZQFoNa8h1U
"achilles last stand - 1990 remaster, led zeppelin",spotify:track:5gwign6hATXgMHxYrRix9L
"voilà, françoise hardy",spotify:track:6aRy3XEJMq9SeZKz2pV9q4
"i put a spell on you, nina simone",spotify:track:0sjxRg1VlYfx4YG7uxurrq
"my baby's gone, the ravens",spotify:track:5SKBSRMWVXLw1hkpVqaTci
"i put a spell on you, screamin' jay hawkins",spotify:track:1YwoYPfhuZlLDbJUH1cKSi
"take me out, young summer",spotify:track:0P02sJx08rbprBFPgNDJ8R
"with arms outstretched, rilo kiley",spotify:track:5p3UmXrTYD95gJjDLdM82x
"orange sky, kat cunning",spotify:track:45E6I2yNGDGkEqx2U2PWvs
"crosses, josé gonzález",spotify:track:7Af2gX0MJD9F5TJSeJEhXC
"ask me anything, the strokes",spotify:track:3CixrF3nYZ6V5OwFKSQxuM
"i'm sticking with you, the velvet underground",spotify:track:1iJiJfFkhwpSh1m8qTgZ5A
"dopey joe, the velvet underground",spotify:track:7cULGoJDYM7lGJAmlDq4dw
"stephanie says, the velvet underground",spotify:track:341b9JIDHZ3oaMVNwS0OsA
"andy's chest, the velvet underground",spotify:track:4oHGcw4VE6hOo2rLFOXWmT
"season of the witch, lana del rey",spotify:track:5DSi7heBC8eTIFROBvttnp
"lisa says - live, the velvet underground",spotify:track:0duMbGXhMqiUX5LrY1u9Kq
"she's my best friend, the velvet underground",spotify:track:29pebZ4rseuBYTImTX4aJq
"foggy notion, the velvet underground",spotify:track:1g4MLkHenJtT7WeIv1SZuk
"hey jude, the beatles",spotify:track:1eT2CjXwFXNx6oY5ydvzKU
"one vision - remastered 2011, queen",spotify:track:0xzhryP1AoHUazYdJ5rj3B
"friends will be friends - remastered 2011, queen",spotify:track:0SaopEgTo6O5dJoFXBbulL
"dream a little dream of me (with paul weston & his music from hollywood), doris day",spotify:track:2HyPrPSANTIPkR6CfiytwY
"fuck it i love you, lana del rey",spotify:track:7MtVPRGtZl6rPjMfLoI3Lh
"love song, lana del rey",spotify:track:5tyMJlMqaggzvuX7TtlrTe
"mambo sun - remastered, t. rex",spotify:track:79dQwpXjJ4t3pILysdqFyB
"ain't no mountain high enough, eddie money",spotify:track:70PGLsqrzgRAp19n6sTvOM
"sixteen, iggy pop",spotify:track:70ZlAJGfC4DesFw4oQ7YZM
"ooh la la - 2015 remaster, faces",spotify:track:6TNNMVpOgn8K5NoDC7alG6
"gimme some lovin' - single mix, the spencer davis group",spotify:track:0g6UcrVsACnRJyTGX6uSHu
"everyday - single version, buddy holly",spotify:track:5MMU5J8jtVDZiryukBeruJ
"i feel fine - remastered 2009, the beatles",spotify:track:4gxs9En3aoaOm2J5wNMMm9
"surf city - remastered 1990/stereo remix, jan & dean",spotify:track:4ZzXPeOfMXk0iKNQGdlzDq
"crying, roy orbison",spotify:track:6eLL7QTdMWdhhG4i3jHDR9
"runaround sue, dion",spotify:track:1DndHckdH9m5rp6gYP086b
